Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,03680,3,"M,TU,W,TH,F10.30-11.45",WEB ARR,May 10--Jun 18,H Yan
ACCTG,230,Introduction to Financial Accounting,03,03864,3,"M,TU,W,TH,F10.30-11.45",WEB ARR,Jun 21--Jul 30,D Ferguson
ACCTG,231,Introduction to Managerial Accounting,01,03681,3,"M,TU,W,TH,F10.30-11.45",WEB ARR,May 10--Jun 18,A Bross
ACCTG,231,Introduction to Managerial Accounting,02,03865,3,"M,TU,W,TH,F10.30-11.45",WEB ARR,Jun 21--Jul 30,K Yonce
ACCTG,330,Intermediate Accounting I,01,03682,3,"M,TU,W,TH,F10.30-11.45",WEB ARR,May 10--Jun 18,L Fu
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,S Gill
AG_ED,497,Internship in Agricultural Education,01,"",V,ARRGT,"",May 10--Jul 30,J Baser
AG_ED,497,Internship in Agricultural Education,02,"",V,ARRGT,"",May 10--Jul 30,A Warner
AG_ED,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,A Warner
AGRI,700,"Master's Research, Thesis, and/or Examination",01,02992,V,ARRGT,ARR ARR,May 10--Jul 30,""
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,02993,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
AGTM,201,Metal Fabrication,01,03665,3,"M,W,F12.10-13",ELB 2,May 10--Jun 18,J Baser
AGTM,201,Metal Fabrication,01 Lab,03667,0,"M,TU,W,TH,F13.10-16",ELB 59,May 10--Jun 18,J Baser
AGTM,202,Welding,01,07668,1,"M,W,F12.10-13",ELB 2,May 10--May 21,J Baser
AGTM,202,Welding,01 Lab,07670,0,"M,TU,W,TH,F13.10-16",ELB 59,May 10--May 21,J Baser
AGTM,203,Machining,01 Lab,07674,0,"M,TU,W,TH,F13.10-16",ELB 59,May 24--Jun 04,J Baser
AGTM,204,Metal Fabrication,01,07676,1,"M,W,F12.10-13",ELB 2,Jun 07--Jun 18,J Baser
AGTM,204,Metal Fabrication,01 Lab,07678,0,"M,TU,W,TH,F13.10-16",ELB 59,Jun 07--Jun 18,J Baser
AGTM,481,Independent Research,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,T Wheeler
AGTM,481,Independent Research,02,"",V,ARRGT,ARR ARR,May 10--Jul 30,J Baser
AGTM,495,Internship in Agricultural Technology and Management,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,T Wheeler
AGTM,495,Internship in Agricultural Technology and Management,02,"",V,ARRGT,ARR ARR,May 10--Jul 30,J Baser
AGTM,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,T Wheeler
AGTM,499,Special Problems,02,"",V,ARRGT,ARR ARR,May 10--Jul 30,J Baser
AMDT,498,Special Topics,01,03528,V,ARRGT,ARR ARR,May 10--Jul 30,S Hiscock
AMDT,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,S Hiscock
AMDT,700,"Master's Research, Thesis, and/or Examination",01,03422,V,ARRGT,ARR ARR,May 10--Jul 30,C Hwang
AMDT,700,"Master's Research, Thesis, and/or Examination",02,03586,V,ARRGT,ARR ARR,May 10--Jul 30,H Liu
AMDT,700,"Master's Research, Thesis, and/or Examination",03,03587,V,ARRGT,ARR ARR,May 10--Jul 30,T Chi
AMDT,700,"Master's Research, Thesis, and/or Examination",04,03590,V,ARRGT,ARR ARR,May 10--Jul 30,J Son
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",01,03426,V,ARRGT,ARR ARR,May 10--Jul 30,H Liu
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",02,08590,V,ARRGT,ARR ARR,May 10--Jul 30,J Son
AMER_ST,216,Introduction to American Cultural Studies,01,07337,3,"M,TU,W,TH,F10-11.25",WEB ARR,Jun 21--Jul 30,T Carrasco
AMER_ST,800,"Doctoral Research, Dissertation, and/or Examination",01,03000,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
