Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,12586,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Pearson
ACCTG,230,Introduction to Financial Accounting,02,12591,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,12592,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Pearson
ACCTG,231,Introduction to Managerial Accounting,01,12587,3,ARRGT,ARR ARR,Aug 22--Oct 09,N Pearson
ACCTG,231,Introduction to Managerial Accounting,02,12590,3,ARRGT,ARR ARR,Aug 22--Oct 09,N Pearson
ACCTG,330,Intermediate Accounting I,01,12588,3,ARRGT,ARR ARR,Aug 22--Oct 09,J Porter
ACCTG,330,Intermediate Accounting I,02,12589,3,ARRGT,ARR ARR,Aug 22--Oct 09,J Porter
ACCTG,330,Intermediate Accounting I,03,12600,3,ARRGT,ARR ARR,Aug 22--Oct 09,J Porter
ACCTG,338,Cost Accounting,01,12593,3,ARRGT,ARR ARR,Oct 17--Dec 11,B Barnes
ACCTG,338,Cost Accounting,02,12595,3,ARRGT,ARR ARR,Oct 17--Dec 11,B Barnes
ACCTG,338,Cost Accounting,03,12598,3,ARRGT,ARR ARR,Oct 17--Dec 11,B Barnes
ACCTG,439,[M] Auditing,01,12594,3,ARRGT,ARR ARR,Oct 17--Dec 11,K Harris
ACCTG,439,[M] Auditing,02,12596,3,ARRGT,ARR ARR,Oct 17--Dec 11,K Harris
ACCTG,439,[M] Auditing,03,12597,3,ARRGT,ARR ARR,Oct 17--Dec 11,K Harris
ACCTG,533,"Accounting, Performance Measurement and Controls",01,"",3,ARRGT,ARR ARR,Oct 03--Nov 06,M Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",02,"",3,ARRGT,ARR ARR,Oct 03--Nov 06,M Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",03,"",3,ARRGT,ARR ARR,Oct 03--Nov 06,M Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",04,"",3,ARRGT,ARR ARR,Oct 03--Nov 06,M Petersen
ACCTG,550,Introduction to Financial and Managerial Accounting,01,01032,3,ARRGT,ARR ARR,Nov 07--Dec 11,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,01033,V,ARRGT,ARR ARR,Nov 07--Dec 11,B Wong-On-Wing
AFS,501,Current Research in Organic and Sustainable Agriculture,01,12508,3,ARRGT,ARR ARR,Aug 22--Dec 09,L Carpenter-Boggs
AGRI,587,Research and Extension Communications in Agriculture,01,12509,3,ARRGT,ARR ARR,Aug 22--Dec 09,C Perillo
AGRI,700,"Master's Research, Thesis, and/or Examination",01,12510,V,ARRGT,ARR ARR,Aug 22--Dec 09,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,12511,V,ARRGT,ARR ARR,Aug 22--Dec 09,(multiple)
AIS,320,[DIVR] Native Peoples of North America,01,12837,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
AIS,331,[SSCI] Archaeology of the Americas,01,12838,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
AIS,331,[SSCI] Archaeology of the Americas,02,14628,3,ARRGT,ARR ARR,Dec 17--Jan 08,J Mcnassar
ANTH,203,[DIVR] Global Cultural Diversity,01,12813,3,ARRGT,ARR ARR,Aug 22--Dec 09,C Heckelsmiller
ANTH,260,[BSCI] Introduction to Biological Anthropology,01,12862,4,ARRGT,ARR ARR,Aug 22--Dec 09,V Black
ANTH,260,[BSCI] Introduction to Biological Anthropology,01 Lab,12863,0,ARRGT,ARR ARR,Aug 22--Dec 09,V Black
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,12697,3,ARRGT,ARR ARR,Aug 22--Dec 09,T Alvarez
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",02,14629,3,ARRGT,ARR ARR,Dec 17--Jan 08,M Gaffney
ANTH,302,[SSCI] Childhood and Culture,01,12689,3,ARRGT,ARR ARR,Aug 22--Dec 09,C Smith
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,01,12690,3,ARRGT,ARR ARR,Aug 22--Dec 09,B Hewlett
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,02,14632,3,ARRGT,ARR ARR,Dec 17--Jan 08,C Anderson
ANTH,320,[DIVR] Native Peoples of North America,01,12776,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,01,12814,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,02,14633,3,ARRGT,ARR ARR,Dec 17--Jan 08,J Mcnassar
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,12692,3,ARRGT,ARR ARR,Aug 22--Dec 09,A Sinha
ANTH,390,[M] History of Anthropological Thought,01,"",3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
ANTH,404,[CAPS] The Self in Culture,01,12693,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mageo
ANTH,418,Human Issues in International Development,01,12694,3,ARRGT,ARR ARR,Aug 22--Dec 09,R Quinlan
B_A,100,Introduction to Business,01,12891,3,ARRGT,ARR ARR,Oct 17--Dec 11,C Cooney
B_A,100,Introduction to Business,02,12892,3,ARRGT,ARR ARR,Oct 17--Dec 11,C Cooney
B_A,100,Introduction to Business,03,12899,3,ARRGT,ARR ARR,Oct 17--Dec 11,C Cooney
B_A,102,Exploring Careers in Business,01,12893,1,ARRGT,ARR ARR,Aug 22--Oct 09,S Billington
B_A,102,Exploring Careers in Business,02,12897,1,ARRGT,ARR ARR,Aug 22--Oct 09,S Billington
B_A,211,"Ethics, Teams, and Innovation",01,12895,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",02,12900,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",03,12902,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",04,"",3,ARRGT,ARR ARR,Jul 04--Sep 16,K Tajeddini
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,12894,3,ARRGT,ARR ARR,Aug 22--Oct 09,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",02,12896,3,ARRGT,ARR ARR,Aug 22--Oct 09,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",03,12898,3,ARRGT,ARR ARR,Aug 22--Oct 09,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",04,12901,3,ARRGT,ARR ARR,Aug 22--Oct 09,Y He
B_A,500,Data Analysis for Managers,01,01002,2,ARRGT,ARR ARR,Aug 22--Sep 25,B Amer
B_A,501,Foundations in Marketing,01,01008,2,ARRGT,ARR ARR,Aug 22--Sep 25,R Liu
B_A,501,Foundations in Marketing,02,01009,V,ARRGT,ARR ARR,Aug 22--Sep 25,R Liu
B_A,501,Foundations in Marketing,03,01010,V,ARRGT,ARR ARR,Aug 22--Sep 25,R Liu
B_A,502,Foundations in Operations Management,01,01016,2,ARRGT,ARR ARR,Oct 03--Nov 06,J Hu
B_A,504,Foundations in Finance,01,01024,2,ARRGT,ARR ARR,Nov 07--Dec 11,M Reyes
B_A,504,Foundations in Finance,02,01025,V,ARRGT,ARR ARR,Nov 07--Dec 11,M Reyes
B_A,514,Business Analytics: Transforming Data into Decisions,01,"",3,ARRGT,ARR ARR,Nov 07--Dec 11,S Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,02,"",3,ARRGT,ARR ARR,Nov 07--Dec 11,S Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,03,"",3,ARRGT,ARR ARR,Nov 07--Dec 11,S Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,04,"",3,ARRGT,ARR ARR,Nov 07--Dec 11,S Fotopoulos
B_A,579,MBA Capstone,01,01048,2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,02,01049,2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,03,01050,2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,04,01051,2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,07,"",2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,08,"",2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,09,"",2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,10,"",2,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,13,"",4,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,579,MBA Capstone,14,"",4,ARRGT,ARR ARR,Aug 22--Dec 11,M Jordan
B_A,595,Applying Design Thinking to Career and Life,01,16169,3,ARRGT,ARR ARR,Aug 22--Oct 09,L Broady
