Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,10307,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Pearson
ACCTG,230,Introduction to Financial Accounting,02,10650,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,10727,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Pearson
ACCTG,231,Introduction to Managerial Accounting,01,10308,3,ARRGT,ARR ARR,Aug 23--Oct 10,N Pearson
ACCTG,231,Introduction to Managerial Accounting,02,10647,3,ARRGT,ARR ARR,Aug 23--Oct 10,N Pearson
ACCTG,330,Intermediate Accounting I,01,10309,3,ARRGT,ARR ARR,Aug 23--Oct 10,J Porter
ACCTG,330,Intermediate Accounting I,02,10558,3,ARRGT,ARR ARR,Aug 23--Oct 10,J Porter
ACCTG,330,Intermediate Accounting I,03,11168,3,ARRGT,ARR ARR,Aug 23--Oct 10,J Porter
ACCTG,338,Cost Accounting,01,10738,3,ARRGT,ARR ARR,Oct 18--Dec 12,B Barnes
ACCTG,338,Cost Accounting,02,10747,3,ARRGT,ARR ARR,Oct 18--Dec 12,B Barnes
ACCTG,338,Cost Accounting,03,10877,3,ARRGT,ARR ARR,Oct 18--Dec 12,B Barnes
ACCTG,439,[M] Auditing,01,10739,3,ARRGT,ARR ARR,Oct 18--Dec 12,K Harris
ACCTG,439,[M] Auditing,02,10748,3,ARRGT,ARR ARR,Oct 18--Dec 12,K Harris
ACCTG,439,[M] Auditing,03,10749,3,ARRGT,ARR ARR,Oct 18--Dec 12,K Harris
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,Aug 23--Dec 10,S Gill
ACCTG,550,Introduction to Financial and Managerial Accounting,01,10530,3,ARRGT,ARR ARR,Nov 08--Dec 12,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,10531,3,ARRGT,ARR ARR,Nov 08--Dec 12,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,03,10532,3,ARRGT,ARR ARR,Nov 08--Dec 12,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,04,10533,3,ARRGT,ARR ARR,Nov 08--Dec 12,B Wong-On-Wing
AGRI,587,Research and Extension Communications in Agriculture,01,10219,3,ARRGT,ARR ARR,Aug 23--Dec 10,C Perillo
AGRI,700,"Master's Research, Thesis, and/or Examination",01,10220,V,ARRGT,ARR ARR,Aug 23--Dec 10,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,10221,V,ARRGT,ARR ARR,Aug 23--Dec 10,(multiple)
AIS,320,[DIVR] Native Peoples of North America,01,11104,3,ARRGT,ARR ARR,Aug 23--Dec 10,J Mcnassar
AIS,331,[SSCI] Archaeology of the Americas,01,11105,3,ARRGT,ARR ARR,Aug 23--Dec 10,J Mcnassar
AIS,331,[SSCI] Archaeology of the Americas,02,12373,3,ARRGT,ARR ARR,Dec 18--Jan 09,J Mcnassar
AIS,401,Tribal Nation Building Leadership - Research I,01,"",2,ARRGT,ARR ARR,Aug 23--Dec 10,K Lokensgard
ANTH,203,[DIVR] Global Cultural Diversity,01,10951,3,ARRGT,ARR ARR,Aug 23--Dec 10,A Thiel
ANTH,260,[BSCI] Introduction to Biological Anthropology,01,17502,4,ARRGT,ARR ARR,Aug 23--Dec 10,V Black
ANTH,260,[BSCI] Introduction to Biological Anthropology,01 Lab,17503,0,ARRGT,ARR ARR,Aug 23--Dec 10,V Black
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,10249,3,ARRGT,ARR ARR,Aug 23--Dec 10,M Gaffney
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",02,10935,3,ARRGT,ARR ARR,Dec 18--Jan 09,C Smith
ANTH,302,[SSCI] Childhood and Culture,01,10241,3,ARRGT,ARR ARR,Aug 23--Dec 10,C Heckelsmiller
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,01,10242,3,ARRGT,ARR ARR,Aug 23--Dec 10,D Weber
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,02,12295,3,ARRGT,ARR ARR,Dec 18--Jan 09,C Anderson
ANTH,320,[DIVR] Native Peoples of North America,01,10487,3,ARRGT,ARR ARR,Aug 23--Dec 10,J Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,01,10952,3,ARRGT,ARR ARR,Aug 23--Dec 10,J Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,02,11023,3,ARRGT,ARR ARR,Dec 18--Jan 09,J Mcnassar
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,10244,3,ARRGT,ARR ARR,Aug 23--Dec 10,C Anderson
ANTH,390,[M] History of Anthropological Thought,01,"",3,ARRGT,ARR ARR,Aug 23--Dec 10,J Mcnassar
ANTH,404,[CAPS] The Self in Culture,01,10245,3,ARRGT,ARR ARR,Aug 23--Dec 10,J Mageo
ANTH,418,Human Issues in International Development,01,10246,3,ARRGT,ARR ARR,Aug 23--Dec 10,R Quinlan
ANTH,498,Anthropology Internship,01,"",V,ARRGT,ARR ARR,Aug 23--Dec 10,J Mageo
B_A,100,Introduction to Business,01,10958,3,ARRGT,ARR ARR,Oct 18--Dec 12,C Cooney
B_A,100,Introduction to Business,02,11019,3,ARRGT,ARR ARR,Oct 18--Dec 12,C Cooney
B_A,100,Introduction to Business,03,11179,3,ARRGT,ARR ARR,Oct 18--Dec 12,C Cooney
B_A,102,Exploring Careers in Business,01,11031,1,ARRGT,ARR ARR,Aug 23--Oct 10,S Billington
B_A,102,Exploring Careers in Business,02,11169,1,ARRGT,ARR ARR,Aug 23--Oct 10,S Billington
B_A,211,"Ethics, Teams, and Innovation",01,11033,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",02,11180,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",03,12316,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",04,"",3,ARRGT,ARR ARR,Jul 05--Sep 17,K Tajeddini
B_A,211,"Ethics, Teams, and Innovation",05,"",3,ARRGT,ARR ARR,Oct 04--Dec 17,K Tajeddini
B_A,211,"Ethics, Teams, and Innovation",06,18705,3,ARRGT,ARR ARR,Oct 18--Dec 12,N Yaws-Gonzalez
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,11032,3,ARRGT,ARR ARR,Aug 23--Oct 10,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",02,11143,3,ARRGT,ARR ARR,Aug 23--Oct 10,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",03,11170,3,ARRGT,ARR ARR,Aug 23--Oct 10,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",04,11187,3,ARRGT,ARR ARR,Aug 23--Oct 10,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",05,18700,3,ARRGT,ARR ARR,Aug 23--Oct 10,Y He
B_A,500,Data Analysis for Managers,01,10535,2,ARRGT,ARR ARR,Aug 23--Sep 26,T Kokta
B_A,500,Data Analysis for Managers,07,17220,2,ARRGT,ARR ARR,Oct 04--Nov 07,T Kokta
B_A,500,Data Analysis for Managers,08,17221,2,ARRGT,ARR ARR,Oct 04--Nov 07,T Kokta
B_A,502,Foundations in Operations Management,01,10541,2,ARRGT,ARR ARR,Aug 23--Sep 26,J Hu
B_A,502,Foundations in Operations Management,02,10542,2,ARRGT,ARR ARR,Aug 23--Sep 26,J Hu
B_A,502,Foundations in Operations Management,03,10543,2,ARRGT,ARR ARR,Aug 23--Sep 26,J Hu
B_A,502,Foundations in Operations Management,04,10544,2,ARRGT,ARR ARR,Aug 23--Sep 26,J Hu
B_A,503,Foundations in Business Law,01,10546,2,ARRGT,ARR ARR,Oct 04--Nov 07,S Bergstedt
B_A,503,Foundations in Business Law,02,10547,2,ARRGT,ARR ARR,Oct 04--Nov 07,S Bergstedt
B_A,503,Foundations in Business Law,03,10548,2,ARRGT,ARR ARR,Oct 04--Nov 07,S Bergstedt
B_A,503,Foundations in Business Law,04,10549,2,ARRGT,ARR ARR,Oct 04--Nov 07,S Bergstedt
B_A,504,Foundations in Finance,01,10559,2,ARRGT,ARR ARR,Nov 08--Dec 12,M Reyes
B_A,504,Foundations in Finance,02,10560,2,ARRGT,ARR ARR,Nov 08--Dec 12,""
B_A,579,MBA Capstone,01,"",3,ARRGT,ARR ARR,Aug 23--Dec 12,M Jordan
B_A,579,MBA Capstone,02,"",3,ARRGT,ARR ARR,Aug 23--Dec 12,M Jordan
B_A,579,MBA Capstone,04,"",3,ARRGT,ARR ARR,Aug 23--Dec 12,M Jordan
