Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,10306,3,ARRGT,ARR ARR,Mar 15--May 02,N Pearson
ACCTG,230,Introduction to Financial Accounting,02,10307,3,ARRGT,ARR ARR,Mar 15--May 02,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,10516,3,ARRGT,ARR ARR,Mar 15--May 02,N Pearson
ACCTG,231,Introduction to Managerial Accounting,01,09791,3,ARRGT,ARR ARR,Jan 19--Mar 06,B Holbrook
ACCTG,231,Introduction to Managerial Accounting,02,10158,3,ARRGT,ARR ARR,Jan 19--Mar 06,B Holbrook
ACCTG,331,Intermediate Accounting II,01,09899,3,ARRGT,ARR ARR,Jan 19--Mar 06,J Porter
ACCTG,331,Intermediate Accounting II,02,10161,3,ARRGT,ARR ARR,Jan 19--Mar 06,J Porter
ACCTG,331,Intermediate Accounting II,03,10213,3,ARRGT,ARR ARR,Jan 19--Mar 06,""
ACCTG,433,[M] Accounting Systems and Auditing,01,10308,3,ARRGT,ARR ARR,Mar 15--May 02,X Gao
ACCTG,433,[M] Accounting Systems and Auditing,02,10309,3,ARRGT,ARR ARR,Mar 15--May 02,""
ACCTG,433,[M] Accounting Systems and Auditing,03,10420,3,ARRGT,ARR ARR,Mar 15--May 02,X Gao
ACCTG,550,Introduction to Financial and Managerial Accounting,01,10005,3,ARRGT,ARR ARR,Mar 29--May 02,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,10006,3,ARRGT,ARR ARR,Mar 29--May 02,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,03,10007,3,ARRGT,ARR ARR,Mar 29--May 02,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,04,10008,3,ARRGT,ARR ARR,Mar 29--May 02,B Wong-On-Wing
AFS,302,[M] Introduction to Agroecology,01,09881,3,ARRGT,ARR ARR,Jan 19--Apr 30,K Murphy
AGRI,700,"Master's Research, Thesis, and/or Examination",01,09878,V,ARRGT,ARR ARR,Jan 19--Apr 30,M Keller
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,09879,V,ARRGT,ARR ARR,Jan 19--Apr 30,(multiple)
AIS,320,[DIVR] Native Peoples of North America,01,10537,3,ARRGT,ARR ARR,Jan 19--Apr 30,J Mcnassar
AIS,327,[DIVR] Contemporary Native Peoples of the Americas,01,10538,3,ARRGT,ARR ARR,Jan 19--Apr 30,J Mcnassar
