Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ANTH,350,"[DIVR] Speech, Thought, and Culture","","","",F14.55-16.10,VMMC 22,"",""
ANTH,350,"[DIVR] Speech, Thought, and Culture","","","",F14.55-16.10,VMMC 22,"",""
ANTH,381,[BSCI] Primate Behavioral Ecology,01,26192,3,F9.10-10,VLIB 260,Jan 10--Apr 29,N Hess
ANTH,490,[CAPS] [M] Integrative Themes in Anthropology,01,27227,3,"TU,TH13.30-14.45",VLIB 260,Jan 10--Apr 29,C Grier
ANTH,547,Models and Simulation,01,30729,3,TU9.10-11.40,VC ARR,Jan 10--Apr 29,L Premo
ANTH,561,Current Trends in Evolutionary Anthropology,01,30127,3,W9.10-11.40,VC ARR,Jan 10--Apr 29,E Hagen
ANTH,591,Special Topics in Anthropology,01,"",3,M17-19.30,VC ARR,Jan 10--Apr 29,J Cassaniti
ANTH,600,Special Projects or Independent Study,02,31073,V,W15-17,VC ARR,Jan 10--Apr 29,A Pisor
ANTH,700,"Master's Research, Thesis, and/or Examination",01,27395,V,ARRGT,ARR ARR,Jan 10--Apr 29,E Hagen
ANTH,800,"Doctoral Research, Dissertation, and/or Examination",01,26045,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
ASTRONOM,135,[PSCI] Astronomy,01,25976,4,"M,W17.45-19",VUB 125,Jan 10--Apr 29,J Vazquez-Bello
ASTRONOM,135,[PSCI] Astronomy,01 Lab,25977,0,M19.15-20.55,VSCI 101,Jan 10--Apr 29,""
ASTRONOM,135,[PSCI] Astronomy,02 Lab,25978,0,W19.15-20.55,VSCI 101,Jan 10--Apr 29,""
B_A,100,Introduction to Business,01,26599,3,"TU,TH12.05-13.20",VMMC 6,Jan 10--Apr 29,J Sandstrom
B_A,102,Exploring Careers in Business,02,26746,1,"W,F12.05-13.20",VUB 107,Jan 10--Feb 11,J Barkley
B_A,102,Exploring Careers in Business,04,31078,1,"W,F9.10-10.25",VMMC 23,Feb 14--Mar 25,N Lippetti
B_A,211,"Ethics, Teams, and Innovation",01,27213,3,"M,W12.05-13.20",VLIB 201,Jan 10--Apr 29,R Saylors
