Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,04798,3,"M,W,F9.10-10",CUE 203,Jan 10--Apr 29,A Bross
ACCTG,230,Introduction to Financial Accounting,02,04799,3,"M,W,F13.10-14",CUE 203,Jan 10--Apr 29,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,04800,3,"M,W,F14.10-15",FNA 5062,Jan 10--Apr 29,N Pearson
ACCTG,231,Introduction to Managerial Accounting,01,04801,3,"M,W,F8.10-9",TODD 320,Jan 10--Apr 29,R Sommerfeldt
ACCTG,231,Introduction to Managerial Accounting,02,27517,3,"M,W,F9.10-10",TODD 320,Jan 10--Apr 29,R Sommerfeldt
ACCTG,231,Introduction to Managerial Accounting,03,04803,3,"M,W,F12.10-13",CUE 219,Jan 10--Apr 29,C Potter
ACCTG,231,Introduction to Managerial Accounting,04,07434,3,"M,W,F14.10-15",CUE 419,Jan 10--Apr 29,C Potter
ACCTG,231,Introduction to Managerial Accounting,05,07433,3,"M,W,F11.10-12",CUE 319,Jan 10--Apr 29,R Sommerfeldt
ACCTG,298,Introduction to Financial and Managerial Accounting - Honors,01,"",4,"W,F15.10-16",TODD 411,Jan 10--Apr 29,N Pearson
ACCTG,298,Introduction to Financial and Managerial Accounting - Honors,"","","",M15.10-17,TODD 411,"",""
ACCTG,330,Intermediate Accounting I,01,04804,3,"TU,TH16.20-17.35",TODD 411,Jan 10--Apr 29,J Porter
ACCTG,330,Intermediate Accounting I,02,04805,3,"TU,TH10.35-11.50",TODD 334,Jan 10--Apr 29,J Jaggi
ACCTG,330,Intermediate Accounting I,03,05718,3,"TU,TH12.05-13.20",TODD 307,Jan 10--Apr 29,J Jaggi
ACCTG,331,Intermediate Accounting II,01,04806,3,"TU,TH9.10-10.25",TODD 411,Jan 10--Apr 29,S Gill
ACCTG,331,Intermediate Accounting II,02,06938,3,"TU,TH10.35-11.50",TODD 411,Jan 10--Apr 29,J Porter
ACCTG,335,Taxation of Business Entities and Individuals,01,04807,3,"M,W,F9.10-10",TODD 302,Jan 10--Apr 29,R Toolson
ACCTG,338,Cost Accounting,01,04808,3,"TU,TH13.30-14.45",TODD 411,Jan 10--Apr 29,B Barnes
ACCTG,430,Advanced Accounting,01,27516,3,"TU,TH12.05-13.20",TODD 411,Jan 10--Apr 29,S Gill
ACCTG,433,[M] Accounting Systems and Auditing,01,04809,3,"M,W,F13.10-14",TODD 411,Jan 10--Apr 29,X Gao
ACCTG,435,Individual Income Taxes,01,04810,3,"TU,TH10.35-11.50",CUE 119,Jan 10--Apr 29,R Toolson
ACCTG,439,[M] Auditing,01,04811,3,"TU,TH9.10-10.25",CUE 119,Jan 10--Apr 29,K Harris
ACCTG,439,[M] Auditing,02,04812,3,"TU,TH10.35-11.50",CUE 319,Jan 10--Apr 29,K Harris
ACCTG,498,Accounting Internship,01,"",V,ARRGT,"",Jan 10--Apr 29,S Gill
ACCTG,596,Doctoral Topics,01,07165,3,ARRGT,ARR ARR,Jan 10--Apr 29,B Barnes
ACCTG,600,Special Projects or Independent Study,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,B Wong-On-Wing
ACCTG,702,"Master's Special Problems, Directed Study, and/or Examination",01,29946,V,ARRGT,ARR ARR,Jan 10--Apr 29,B Wong-On-Wing
ACCTG,800,"Doctoral Research, Dissertation, and/or Examination",01,04815,V,ARRGT,ARR ARR,Jan 10--Apr 29,B Barnes
AERO,102,Heritage and Values II,01,05162,1,TU12.05-12.55,TODD 404,Jan 10--Apr 29,B O'neill
AERO,102,Heritage and Values II,02,05163,1,TH14.55-15.45,TODD 216,Jan 10--Apr 29,B O'neill
AERO,103,Leadership Laboratory I,01,05164,2,TH17-19,HLD G0003,Jan 10--Apr 29,B O'neill
AERO,202,Team and Leadership Fundamentals II,01,05165,1,TU9.10-10,TODD 226,Jan 10--Apr 29,P Hyde
AERO,202,Team and Leadership Fundamentals II,02,05166,1,TH12.05-12.55,TODD 301,Jan 10--Apr 29,P Hyde
AERO,203,Leadership Laboratory II,01,05167,2,TH17-19,HLD G0003,Jan 10--Apr 29,B O'neill
AERO,312,Leading People and Effective Communication II,01,05168,3,"TU,TH10.35-11.50",TODD 413,Jan 10--Apr 29,C Rocco
AERO,313,Leadership Laboratory III,01,05169,2,TH17-19,HLD G0003,Jan 10--Apr 29,B O'neill
AERO,412,"National Security, Leadership, and Commissioning Preparation II",01,05170,3,"TU,TH13.30-14.45",TODD 307,Jan 10--Apr 29,N Jeffers
AERO,413,Leadership Laboratory IV,01,05171,2,TH17-19,HLD G0003,Jan 10--Apr 29,B O'neill
AERO,499,Special Problems,01,05172,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
AFS,102,Professional Development in the Agricultural and Natural Resource Sciences,01,06493,1,M15.10-16,TODD 226,Jan 10--Apr 29,H Henning
AFS,302,[M] Introduction to Agroecology,01,04590,3,ARRGT,ARR ARR,Jan 10--Apr 29,K Murphy
AFS,350,Food Systems in Western Washington,01,30865,3,ARRGT,ARR ARR,Jan 10--Apr 29,""
AFS,401,[CAPS] Advanced Systems Analysis and Design in Agricultural and Food Systems,01,03495,3,"TU,TH13.30-14.45",SPRK 235,Jan 10--Apr 29,H Henning
AFS,505,Topics in Computational and Analytical Methods for Scientists,01,07527,V,"TU,TH10.35-11.50",JSNH 343,Jan 10--Feb 11,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,02,07528,V,"TU,TH10.35-11.50",VC ARR,Jan 10--Feb 11,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,03,07529,V,"TU,TH10.35-11.50",VC ARR,Jan 10--Feb 11,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,04,07530,V,"TU,TH10.35-11.50",VC ARR,Jan 10--Feb 11,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,05,07531,V,"TU,TH10.35-11.50",VC ARR,Jan 10--Feb 11,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,06,07532,V,"TU,TH10.35-11.50",JSNH 343,Feb 14--Mar 25,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,07,07533,V,"TU,TH10.35-11.50",VC ARR,Feb 14--Mar 25,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,08,07534,V,"TU,TH10.35-11.50",VC ARR,Feb 14--Mar 25,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,09,07535,V,"TU,TH10.35-11.50",VC ARR,Feb 14--Mar 25,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,10,07536,V,"TU,TH10.35-11.50",VC ARR,Feb 14--Mar 25,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,11,07537,V,"TU,TH10.35-11.50",JSNH 343,Mar 28--Apr 29,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,12,07538,V,"TU,TH10.35-11.50",VC ARR,Mar 28--Apr 29,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,13,07539,V,"TU,TH10.35-11.50",VC ARR,Mar 28--Apr 29,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,14,07540,V,"TU,TH10.35-11.50",VC ARR,Mar 28--Apr 29,T Biggs
AFS,505,Topics in Computational and Analytical Methods for Scientists,15,07541,V,"TU,TH10.35-11.50",VC ARR,Mar 28--Apr 29,T Biggs
AFS,511,Statistical Methods for Graduate Researchers,01,07000,4,"TU,TH12.05-13.20",SPRK G0045,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,02,07191,4,"TU,TH12.05-13.20",VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,03,07193,4,"TU,TH12.05-13.20",VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,04,07195,4,"TU,TH12.05-13.20",VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,05,07197,4,"TU,TH12.05-13.20",VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,01 Lab,07145,0,W15.10-17,HULB 5,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,02 Lab,07192,0,W15.10-17,VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,03 Lab,07194,0,W15.10-17,VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,04 Lab,07196,0,W15.10-17,VC ARR,Jan 10--Apr 29,""
AFS,511,Statistical Methods for Graduate Researchers,05 Lab,07198,0,W15.10-17,VC ARR,Jan 10--Apr 29,""
AG_ED,407,[CAPS] Student Teaching in Agricultural Education,01,03191,V,ARRGT,ARR ARR,Jan 10--Apr 29,""
AG_ED,430,Reinforcing Core Academics in Agricultural Education,01,07542,4,"M,W12.10-13",VPBS 43,Jan 10--Apr 29,""
AG_ED,430,Reinforcing Core Academics in Agricultural Education,01 Lab,07543,0,"M,W13.10-16",VPBS 43,Jan 10--Apr 29,""
AG_ED,497,Internship in Agricultural Education,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Baser
AG_ED,497,Internship in Agricultural Education,02,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,A Warner
AG_ED,499,Special Problems,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Baser
AG_ED,499,Special Problems,02,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,A Warner
AGRI,700,"Master's Research, Thesis, and/or Examination",01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,""
AGRI,700,"Master's Research, Thesis, and/or Examination",02,06549,V,ARRGT,ARR ARR,Jan 10--Apr 29,""
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,04628,V,ARRGT,ARR ARR,Jan 10--Apr 29,T Bernhard
AGTM,201,Metal Fabrication,01,03226,3,TU12.10-13,ELB 2,Jan 10--Apr 29,J Baser
AGTM,201,Metal Fabrication,01 Lab,03228,0,"TU,TH13.10-16",ELB 59,Jan 10--Apr 29,J Baser
AGTM,330,Electrical Power Systems for Agriculture,01,03390,3,"M,W10.10-11",CUE 209,Jan 10--Apr 29,T Wheeler
AGTM,330,Electrical Power Systems for Agriculture,01 Lab,03391,0,W14.10-17,LJSM 120,Jan 10--Apr 29,T Wheeler
AGTM,402,"Methods, Materials, and Machines for Teaching Ag Mechanics",01,03397,3,"M,W,F8.10-9",ELB 2,Jan 10--Apr 29,J Baser
AGTM,405,Advanced Agricultural Precision Systems,01,03392,2,M9.10-10,CUE 209,Jan 10--Apr 29,H Neely
AGTM,405,Advanced Agricultural Precision Systems,01 Lab,03393,0,M14.10-17,HULB 5,Jan 10--Apr 29,H Neely
AGTM,412,Human and Machinery Risk Management,01,03394,3,"TU,TH12.05-13.20",CUE 119,Jan 10--Apr 29,T Wheeler
AGTM,416,Fluid Power Systems,01,03395,3,"M,W11.10-12",CUE 209,Jan 10--Apr 29,T Wheeler
AGTM,416,Fluid Power Systems,01 Lab,03396,0,TU14.55-17.45,LJSM 114,Jan 10--Apr 29,T Wheeler
AGTM,444,Teaching Practicum,01,"",1,ARRGT,ARR ARR,Jan 10--Apr 29,J Baser
AGTM,444,Teaching Practicum,02,"",1,ARRGT,ARR ARR,Jan 10--Apr 29,T Wheeler
AGTM,481,Independent Research,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Baser
AGTM,481,Independent Research,02,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,T Wheeler
AGTM,495,Internship in Agricultural Technology and Management,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Baser
AGTM,495,Internship in Agricultural Technology and Management,02,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,T Wheeler
AGTM,499,Special Problems,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Baser
AGTM,499,Special Problems,02,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,T Wheeler
AIS,320,[DIVR] Native Peoples of North America,01,07893,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
AIS,327,[DIVR] Contemporary Native Peoples of the Americas,01,07894,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
AIS,331,[SSCI] Archaeology of the Americas,01,29652,3,"M,W,F12.10-13",COLL 125,Jan 10--Apr 29,J Blong
AIS,401,Tribal Nation Building Leadership - Research I,01,"",2,ARRGT,ARR ARR,Jan 10--Apr 29,K Lokensgard
AIS,402,Tribal Nation Building Leadership - Research II,01,"",2,ARRGT,ARR ARR,Jan 10--Apr 29,K Lokensgard
AMDT,210,[PSCI] Textiles,01,05274,4,"TU,TH13.30-14.45",JSNH C0107,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,01 Lab,05275,0,M9.10-12,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,02 Lab,05276,0,M16.10-19,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,03 Lab,05595,0,TU9.10-12,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,04 Lab,07826,0,TU16.15-19.05,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,05 Lab,25566,0,W12.10-15,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,06 Lab,25567,0,W15.10-18,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,07 Lab,25568,0,TH10.35-13.25,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,08 Lab,25569,0,TH16.25-19.15,ARR ARR,Jan 10--Apr 29,H Liu
AMDT,210,[PSCI] Textiles,09 Lab,25570,0,F8.10-11,ARR ARR,Jan 10--Apr 29,H Liu
