Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,03034,3,"M,TU,W,TH,F10.30-11.45",TODD 226,May 09--Jun 19,Z Zhang
ACCTG,230,Introduction to Financial Accounting,02,03212,3,"M,TU,W,TH,F10.30-11.45",TODD 302,Jun 20--Jul 31,J Demyon
ACCTG,231,Introduction to Managerial Accounting,01,03035,3,"M,TU,W,TH,F10.30-11.45",TODD 411,May 09--Jun 19,C Jun
ACCTG,231,Introduction to Managerial Accounting,02,03213,3,"M,TU,W,TH,F10.30-11.45",TODD 303,Jun 20--Jul 31,A Bross
ACCTG,330,Intermediate Accounting I,01,03036,3,"M,TU,W,TH,F10.30-11.45",TODD 404,May 09--Jun 19,K Yonce
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,S Gill
AG_ED,497,Internship in Agricultural Education,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,J Baser
AG_ED,497,Internship in Agricultural Education,02,"",V,ARRGT,ARR ARR,May 09--Jul 29,A Warner
AG_ED,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,A Warner
AGTM,201,Metal Fabrication,01,03020,3,"M,W,F12.10-13",ELB 2,May 09--Jun 19,J Baser
AGTM,201,Metal Fabrication,01 Lab,03022,0,"M,TU,W,TH,F13.10-16",ELB 59,May 09--Jun 19,J Baser
AGTM,202,Welding,01,03525,1,"M,W,F12.10-13",ELB 2,May 09--May 20,J Baser
AGTM,202,Welding,01 Lab,03527,0,"M,TU,W,TH,F13.10-16",ELB 59,May 09--May 20,J Baser
AGTM,203,Machining,01,03529,1,"M,W,F12.10-13",ELB 2,May 23--Jun 03,J Baser
AGTM,203,Machining,01 Lab,03531,0,"M,TU,W,TH,F13.10-16",ELB 59,May 23--Jun 03,J Baser
AGTM,204,Metal Fabrication,01,03533,1,"M,W,F12.10-13",ELB 2,Jun 06--Jun 17,J Baser
AGTM,204,Metal Fabrication,01 Lab,03535,0,"M,TU,W,TH,F13.10-16",ELB 59,Jun 06--Jun 17,J Baser
AGTM,481,Independent Research,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,T Wheeler
AGTM,481,Independent Research,02,"",V,ARRGT,ARR ARR,May 09--Jul 29,J Baser
AGTM,495,Internship in Agricultural Technology and Management,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,T Wheeler
AGTM,495,Internship in Agricultural Technology and Management,02,"",V,ARRGT,ARR ARR,May 09--Jul 29,J Baser
AGTM,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,T Wheeler
AGTM,499,Special Problems,02,"",V,ARRGT,ARR ARR,May 09--Jul 29,J Baser
AMDT,498,Special Topics,01,02885,V,ARRGT,ARR ARR,May 09--Jul 29,S Hiscock
AMDT,700,"Master's Research, Thesis, and/or Examination",01,02780,V,ARRGT,ARR ARR,May 09--Jul 29,A Ghalachyan
AMDT,700,"Master's Research, Thesis, and/or Examination",02,02942,V,ARRGT,ARR ARR,May 09--Jul 29,H Liu
AMDT,700,"Master's Research, Thesis, and/or Examination",03,02943,V,ARRGT,ARR ARR,May 09--Jul 29,T Chi
AMDT,700,"Master's Research, Thesis, and/or Examination",04,02946,V,ARRGT,ARR ARR,May 09--Jul 29,J Son
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",01,02784,V,ARRGT,ARR ARR,May 09--Jul 29,H Liu
AMDT,702,"Master's Special Problems, Directed Study and/or Examination",02,03770,V,ARRGT,ARR ARR,May 09--Jul 29,J Son
AMER_ST,216,Introduction to American Cultural Studies,01,03464,3,"M,TU,W,TH,F11.10-12",SPRK 339,Jul 05--Jul 29,A Diehl
ANIM_SCI,481,Special Topics in Study Abroad: Animal Production Systems in the World,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,""
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",02,02783,V,ARRGT,ARR ARR,May 09--Jul 29,M Marcondes
ANTH,101,[DIVR] Introduction to Anthropology,01,03025,3,"M,TU,W,TH,F10.30-11.45",COLL 235,May 09--Jun 19,D Bird
ANTH,101,[DIVR] Introduction to Anthropology,03,03205,3,"M,TU,W,TH,F10.30-11.45",SLOA 161,Jun 20--Jul 31,P Moonkham
ANTH,201,[HUM] Art and Society,02,03462,3,"M,TU,W,TH,F12-13.15",COLL 135,May 09--Jun 19,A Karimitar
ANTH,300,Field Methods,01,"",V,ARRGT,ARR ARR,May 09--Jun 19,K Lokensgard
ANTH,300,Field Methods,02,"",V,ARRGT,ARR ARR,Jun 20--Jul 31,K Lokensgard
ANTH,300,Field Methods,03,"",V,ARRGT,ARR ARR,Jun 20--Jul 31,""
ANTH,399,Archaeological Field School,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,""
ANTH,495,Research Practicum,01,"",V,ARRGT,ARR ARR,Jun 20--Jul 31,K Lokensgard
ANTH,495,Research Practicum,02,"",V,ARRGT,ARR ARR,May 09--Jul 29,K Lokensgard
ANTH,498,Anthropology Internship,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
ANTH,498,Anthropology Internship,02,"",V,ARRGT,ARR ARR,May 09--Jun 19,J Blong
ANTH,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,R Horowitz
ANTH,500,Field Methods,01,02361,V,ARRGT,ARR ARR,May 09--Jul 29,""
ANTH,599,Archaeological Field School,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,""
ANTH,600,Special Projects or Independent Study,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,""
ANTH,700,"Master's Research, Thesis, and/or Examination",01,02364,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
ANTH,800,"Doctoral Research, Dissertation, and/or Examination",01,02365,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
ARCH,480,Architecture Internship,01,05463,V,ARRGT,ARR ARR,May 09--Jul 29,M Melcher
ARCH,510,Graduate Design Studio III,01,03579,6,"M,TU,W,TH10-16",CARP 201,May 16--Jun 23,A Rahmani
ARCH,510,Graduate Design Studio III,02,03580,6,"M,TU,W,TH10-16",CARP 201,May 16--Jun 23,M Mansoori
ARCH,580,Architecture Practicum,01,03501,V,ARRGT,ARR ARR,May 09--Jul 29,J Abell
ARCH,580,Architecture Practicum,02,03573,V,ARRGT,ARR ARR,Jul 30--Aug 21,J Abell
ATH_T,575,Pharmacology in Athletic Training,01,03490,3,"M,TU,W,TH,F10.45-12.15",SGYM 214A,May 16--Jun 17,K Pietz
ATH_T,595,Leadership and Communication in Athletic Training,01,03491,3,"M,TU,W,TH,F9-10.15",SGYM 214A,May 16--Jun 17,K Hildenbrand
B_A,702,"Master's Special Problems, Directed Study, and/or Examination",01,05434,V,ARRGT,ARR ARR,May 09--Jul 29,C Munson
BIO_ENG,488,Professional Practice Coop/Internship I,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,S Brabb
BIO_ENG,495,Internship in Bioengineering,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,A Vasavada
BIO_ENG,499,Special Problems in Bioengineering,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
