Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,04647,3,"M,W,F14.10-15",TODD 216,Aug 23--Dec 10,N Pearson
ACCTG,230,Introduction to Financial Accounting,02,04648,3,"M,W,F13.10-14",TODD 216,Aug 23--Dec 10,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,04649,3,"M,W,F10.10-11",TODD 216,Aug 23--Dec 10,N Pearson
ACCTG,230,Introduction to Financial Accounting,04,04650,3,"M,W,F15.10-16",TODD 120,Aug 23--Dec 10,""
ACCTG,231,Introduction to Managerial Accounting,01,04651,3,"M,W,F8.10-9",CUE 119,Aug 23--Dec 10,S Gill
ACCTG,231,Introduction to Managerial Accounting,02,04652,3,"M,W,F10.10-11",CUE 419,Aug 23--Dec 10,S Gill
ACCTG,231,Introduction to Managerial Accounting,03,07517,3,"M,W,F14.10-15",TODD 334,Aug 23--Dec 10,C Potter
ACCTG,231,Introduction to Managerial Accounting,04,07925,3,"M,W,F11.10-12",TODD 311,Aug 23--Dec 10,C Potter
ACCTG,330,Intermediate Accounting I,01,04653,3,"TU,TH9.10-10.25",TODD 411,Aug 23--Dec 10,J Jaggi
ACCTG,330,Intermediate Accounting I,02,04654,3,"TU,TH10.35-11.50",CUE 419,Aug 23--Dec 10,J Jaggi
ACCTG,330,Intermediate Accounting I,03,06463,3,"TU,TH14.55-16.10",TODD 411,Aug 23--Dec 10,J Porter
ACCTG,331,Intermediate Accounting II,01,04655,3,"TU,TH14.55-16.10",TODD 307,Aug 23--Dec 10,J Gramlich
ACCTG,331,Intermediate Accounting II,02,06991,3,"TU,TH12.05-13.20",CUE 119,Aug 23--Dec 10,J Porter
ACCTG,335,Taxation of Business Entities and Individuals,01,04656,3,"TU,TH9.10-10.25",CUE 409,Aug 23--Dec 10,R Toolson
ACCTG,335,Taxation of Business Entities and Individuals,02,04657,3,"M,W,F11.10-12",TODD 411,Aug 23--Dec 10,R Toolson
ACCTG,338,Cost Accounting,01,04658,3,"TU,TH12.05-13.20",TODD 411,Aug 23--Dec 10,B Barnes
ACCTG,433,[M] Accounting Systems and Auditing,01,04660,3,"M,W,F13.10-14",TODD 411,Aug 23--Dec 10,X Gao
ACCTG,433,[M] Accounting Systems and Auditing,02,04661,3,"M,W,F12.10-13",TODD 411,Aug 23--Dec 10,X Gao
ACCTG,439,[M] Auditing,01,04662,3,"TU,TH10.35-11.50",CUE 319,Aug 23--Dec 10,K Harris
ACCTG,496,Special Topics,01,17368,3,"TU,TH10.35-11.50",TODD 411,Aug 23--Dec 10,R Sommerfeldt
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,Aug 23--Dec 10,S Gill
ACCTG,499,Special Problems,01,"",V,ARRGT,ARR ARR,Aug 23--Dec 10,B Wong-On-Wing
ACCTG,596,Doctoral Topics,01,04665,3,ARRGT,ARR ARR,Aug 23--Dec 10,B Wong-On-Wing
ACCTG,600,Special Projects or Independent Study,01,"",V,ARRGT,ARR ARR,Aug 23--Dec 10,B Wong-On-Wing
ACCTG,800,"Doctoral Research, Dissertation, and/or Examination",01,04667,V,ARRGT,ARR ARR,Aug 23--Dec 10,B Wong-On-Wing
AERO,101,Heritage and Values I,01,03913,1,TU14.55-15.45,TODD 130,Aug 23--Dec 10,B O'neill
AERO,101,Heritage and Values I,02,05967,1,TH12.05-12.55,CLEV 30,Aug 23--Dec 10,B O'neill
AERO,103,Leadership Laboratory I,01,03914,2,TH17-19,TODD 116,Aug 23--Dec 10,B O'neill
AERO,201,Team and Leadership Fundamentals I,01,03915,1,TU9.10-10,CLEV 30,Aug 23--Dec 10,P Hyde
AERO,201,Team and Leadership Fundamentals I,02,03916,1,TH14.55-15.45,TODD 130,Aug 23--Dec 10,P Hyde
AERO,203,Leadership Laboratory II,01,03917,2,TH17-19,TODD 116,Aug 23--Dec 10,B O'neill
AERO,311,Leading People and Effective Communication I,01,03918,3,"TU,TH10.35-11.50",CUE 203,Aug 23--Dec 10,C Rocco
AERO,313,Leadership Laboratory III,01,03919,2,TH17-19,TODD 116,Aug 23--Dec 10,B O'neill
AERO,411,"National Security, Leadership, and Commissioning Preparation I",01,03920,3,"TU,TH13.30-14.45",CLEV 30,Aug 23--Dec 10,N Jeffers
AERO,413,Leadership Laboratory IV,01,03921,2,TH17-19,TODD 116,Aug 23--Dec 10,B O'neill
AERO,499,Special Problems,01,03922,V,ARRGT,ARR ARR,Aug 23--Dec 10,(multiple)
AFS,102,Professional Development in the Agricultural and Natural Resource Sciences,01,06430,1,M15.10-16,TODD 430,Aug 23--Dec 10,""
AFS,103,Field Experience in Agricultural and Food Systems,01,06944,1,ARRGT,ARR ARR,Aug 23--Dec 10,R Zack
AFS,201,Systems Skills for Agricultural and Food Systems,01,07871,3,"M,W,F12.10-13",FSHN T0101,Aug 23--Dec 10,H Henning
AFS,336,"[SSCI] Agriculture, Environment, and Community",01,04890,3,"TU,TH9.10-10.25",JSNH 343,Aug 23--Dec 10,J Goldberger
